,Serial Number,State_RTC,Route Link,Route Name,Boarding_point,Destination
0,1,APSRTC,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad
1,2,APSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
2,3,APSRTC,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam,Kakinada,Visakhapatnam
3,4,APSRTC,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada,Visakhapatnam,Kakinada
4,5,APSRTC,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore,Chittoor (Andhra Pradesh),Bangalore
5,6,APSRTC,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore,Kadapa,Bangalore
6,7,APSRTC,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Anantapur (andhra pradesh) to Bangalore,Anantapur (andhra pradesh),Bangalore
7,8,APSRTC,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore,Tirupati,Bangalore
8,9,APSRTC,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada,Visakhapatnam,Vijayawada
9,10,APSRTC,https://www.redbus.in/bus-tickets/ongole-to-hyderabad,Ongole to Hyderabad,Ongole,Hyderabad
10,11,APSRTC,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati,Bangalore,Tirupati
11,12,APSRTC,https://www.redbus.in/bus-tickets/macherla-to-hyderabad,Macherla (andhra pradesh) to Hyderabad,Macherla (andhra pradesh),Hyderabad
12,13,APSRTC,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,Rajahmundry to Visakhapatnam,Rajahmundry,Visakhapatnam
13,14,APSRTC,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,Nandyal to Hyderabad,Nandyal,Hyderabad
14,15,APSRTC,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa,Bangalore,Kadapa
15,16,APSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole,Hyderabad,Ongole
16,17,APSRTC,https://www.redbus.in/bus-tickets/guntur-to-hyderabad,Guntur (Andhra Pradesh) to Hyderabad,Guntur (Andhra Pradesh),Hyderabad
17,18,APSRTC,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam,Vijayawada,Visakhapatnam
18,19,APSRTC,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,Rajahmundry to Vijayawada,Rajahmundry,Vijayawada
19,20,APSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool,Hyderabad,Kurnool
20,21,APSRTC,https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,Bangalore to Chittoor (Andhra Pradesh),Bangalore,Chittoor (Andhra Pradesh)
21,22,APSRTC,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Kurnool to Hyderabad,Kurnool,Hyderabad
22,23,APSRTC,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry,Visakhapatnam to Rajahmundry,Visakhapatnam,Rajahmundry
23,24,APSRTC,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,Rayachoti to Bangalore,Rayachoti,Bangalore
24,25,APSRTC,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,Vinukonda to Hyderabad,Vinukonda,Hyderabad
25,26,APSRTC,https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,Bangalore to Anantapur (andhra pradesh),Bangalore,Anantapur (andhra pradesh)
26,27,APSRTC,https://www.redbus.in/bus-tickets/amalapuram-to-visakhapatnam,Amalapuram to Visakhapatnam,Amalapuram,Visakhapatnam
27,28,APSRTC,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi,Vijayawada to Tirupati,Vijayawada,Tirupati
28,29,APSRTC,https://www.redbus.in/bus-tickets/madanapalli-to-bangalore,Madanapalli to Bangalore,Madanapalli,Bangalore
29,30,APSRTC,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad,Narasaraopet,Hyderabad
30,31,APSRTC,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,Eluru to Hyderabad,Eluru,Hyderabad
31,32,APSRTC,https://www.redbus.in/bus-tickets/visakhapatnam-to-amalapuram,Visakhapatnam to Amalapuram,Visakhapatnam,Amalapuram
32,33,APSRTC,https://www.redbus.in/bus-tickets/kadiri-to-bangalore,Kadiri to Bangalore,Kadiri,Bangalore
33,34,APSRTC,https://www.redbus.in/bus-tickets/chennai-to-tirupathi,Chennai to Tirupati,Chennai,Tirupati
34,35,APSRTC,https://www.redbus.in/bus-tickets/rajahmundry-to-hyderabad,Rajahmundry to Hyderabad,Rajahmundry,Hyderabad
35,36,APSRTC,https://www.redbus.in/bus-tickets/kurnool-to-vijayawada,Kurnool to Vijayawada,Kurnool,Vijayawada
36,37,APSRTC,https://www.redbus.in/bus-tickets/vijayawada-to-kurnool,Vijayawada to Kurnool,Vijayawada,Kurnool
37,38,APSRTC,https://www.redbus.in/bus-tickets/kakinada-to-vijayawada,Kakinada to Vijayawada,Kakinada,Vijayawada
38,39,APSRTC,https://www.redbus.in/bus-tickets/bangalore-to-madanapalli,Bangalore to Madanapalli,Bangalore,Madanapalli
39,40,APSRTC,https://www.redbus.in/bus-tickets/nellore-to-bangalore,Nellore to Bangalore,Nellore,Bangalore
40,41,APSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-narsaraopet,Hyderabad to Narasaraopet,Hyderabad,Narasaraopet
41,42,APSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh),Hyderabad,Guntur (Andhra Pradesh)
42,43,APSRTC,https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Bangalore to Kadiri,Bangalore,Kadiri
43,44,APSRTC,https://www.redbus.in/bus-tickets/vijayawada-to-rajahmundry,Vijayawada to Rajahmundry,Vijayawada,Rajahmundry
44,45,APSRTC,https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,Bangalore to Rayachoti,Bangalore,Rayachoti
